method,split,seed,fold,far,recall_050,threshold,consecutive
v2 teacher,development,0,0,0.07407407407407407,0.2894736842105263,0.85,4
v2 teacher,development,0,0,0.1111111111111111,0.4868421052631579,0.9,1
v2 teacher,development,0,0,0.07407407407407407,0.3815789473684211,0.9,2
v2 teacher,development,0,0,0.07407407407407407,0.34210526315789475,0.9,3
v2 teacher,development,0,0,0.07407407407407407,0.2631578947368421,0.9,4
v2 teacher,development,0,1,0.07407407407407407,0.7922077922077922,0.1,1
v2 teacher,development,0,1,0.037037037037037035,0.7012987012987013,0.1,2
v2 teacher,development,0,1,0.037037037037037035,0.6883116883116883,0.1,3
v2 teacher,development,0,1,0.037037037037037035,0.6363636363636364,0.1,4
v2 teacher,development,0,1,0.037037037037037035,0.7272727272727273,0.15,1
v2 teacher,development,0,1,0.037037037037037035,0.6883116883116883,0.15,2
v2 teacher,development,0,1,0.037037037037037035,0.6623376623376623,0.15,3
v2 teacher,development,0,1,0.037037037037037035,0.5844155844155844,0.15,4
v2 teacher,development,0,1,0.037037037037037035,0.7012987012987013,0.2,1
v2 teacher,development,0,1,0.037037037037037035,0.6883116883116883,0.2,2
v2 teacher,development,0,1,0.037037037037037035,0.6363636363636364,0.2,3
v2 teacher,development,0,1,0.037037037037037035,0.5844155844155844,0.2,4
v2 teacher,development,0,1,0.037037037037037035,0.7012987012987013,0.25,1
v2 teacher,development,0,1,0.037037037037037035,0.6883116883116883,0.25,2
v2 teacher,development,0,1,0.037037037037037035,0.5974025974025974,0.25,3
v2 teacher,development,0,1,0.037037037037037035,0.5714285714285714,0.25,4
v2 teacher,development,0,1,0.037037037037037035,0.7012987012987013,0.3,1
v2 teacher,development,0,1,0.037037037037037035,0.6623376623376623,0.3,2
v2 teacher,development,0,1,0.037037037037037035,0.5844155844155844,0.3,3
v2 teacher,development,0,1,0.037037037037037035,0.5584415584415584,0.3,4
v2 teacher,development,0,1,0.037037037037037035,0.6883116883116883,0.35,1
v2 teacher,development,0,1,0.037037037037037035,0.6363636363636364,0.35,2
v2 teacher,development,0,1,0.037037037037037035,0.5584415584415584,0.35,3
v2 teacher,development,0,1,0.037037037037037035,0.4805194805194805,0.35,4
v2 teacher,development,0,1,0.037037037037037035,0.6883116883116883,0.4,1
v2 teacher,development,0,1,0.037037037037037035,0.6103896103896104,0.4,2
v2 teacher,development,0,1,0.037037037037037035,0.5324675324675324,0.4,3
v2 teacher,development,0,1,0.037037037037037035,0.4805194805194805,0.4,4
v2 teacher,development,0,1,0.037037037037037035,0.6753246753246753,0.45,1
v2 teacher,development,0,1,0.037037037037037035,0.5974025974025974,0.45,2
v2 teacher,development,0,1,0.037037037037037035,0.5324675324675324,0.45,3
v2 teacher,development,0,1,0.037037037037037035,0.4675324675324675,0.45,4
v2 teacher,development,0,1,0.037037037037037035,0.6753246753246753,0.5,1
v2 teacher,development,0,1,0.037037037037037035,0.5844155844155844,0.5,2
v2 teacher,development,0,1,0.0,0.5064935064935064,0.5,3
v2 teacher,development,0,1,0.0,0.44155844155844154,0.5,4
v2 teacher,development,0,1,0.037037037037037035,0.6623376623376623,0.55,1
v2 teacher,development,0,1,0.037037037037037035,0.5714285714285714,0.55,2
v2 teacher,development,0,1,0.0,0.5064935064935064,0.55,3
v2 teacher,development,0,1,0.0,0.44155844155844154,0.55,4
v2 teacher,development,0,1,0.037037037037037035,0.6493506493506493,0.6,1
v2 teacher,development,0,1,0.037037037037037035,0.5454545454545454,0.6,2
v2 teacher,development,0,1,0.0,0.4805194805194805,0.6,3
v2 teacher,development,0,1,0.0,0.4155844155844156,0.6,4
v2 teacher,development,0,1,0.037037037037037035,0.6233766233766234,0.65,1
v2 teacher,development,0,1,0.037037037037037035,0.5324675324675324,0.65,2
v2 teacher,development,0,1,0.0,0.45454545454545453,0.65,3
v2 teacher,development,0,1,0.0,0.4155844155844156,0.65,4
v2 teacher,development,0,1,0.037037037037037035,0.6233766233766234,0.7,1
v2 teacher,development,0,1,0.037037037037037035,0.5324675324675324,0.7,2
v2 teacher,development,0,1,0.0,0.45454545454545453,0.7,3
v2 teacher,development,0,1,0.0,0.4155844155844156,0.7,4
v2 teacher,development,0,1,0.037037037037037035,0.6103896103896104,0.75,1
v2 teacher,development,0,1,0.037037037037037035,0.4935064935064935,0.75,2
v2 teacher,development,0,1,0.0,0.45454545454545453,0.75,3
v2 teacher,development,0,1,0.0,0.4025974025974026,0.75,4
v2 teacher,development,0,1,0.037037037037037035,0.5584415584415584,0.8,1
v2 teacher,development,0,1,0.037037037037037035,0.4935064935064935,0.8,2
v2 teacher,development,0,1,0.0,0.45454545454545453,0.8,3
v2 teacher,development,0,1,0.0,0.4025974025974026,0.8,4
v2 teacher,development,0,1,0.037037037037037035,0.5194805194805194,0.85,1
